is_tv_show,Release_Date_norm,rating_level_norm,duration_norm,genre_international_movies,genre_dramas,genre_comedies,genre_international_tv_shows,genre_documentaries,genre_action_and_adventure,genre_tv_dramas,genre_independent_movies,genre_children_and_family_movies,genre_romantic_movies
1,0.9230769230769231,1.0,0.2,0,1,0,1,0,0,1,0,0,0
0,0.6153846153846154,1.0,0.2912621359223301,1,1,0,0,0,0,0,0,0,0
0,0.7692307692307693,0.75,0.24271844660194175,1,0,0,0,0,0,0,0,0,0
0,0.6923076923076923,0.5,0.24919093851132687,0,0,0,0,0,1,0,1,0,0
0,0.9230769230769231,0.5,0.3883495145631068,0,1,0,0,0,0,0,0,0,0
1,0.6923076923076923,1.0,0.0,0,1,0,1,0,0,1,0,0,0
0,0.9230769230769231,1.0,0.2977346278317152,1,0,0,0,0,0,0,0,0,0
0,0.8461538461538461,0.75,0.37540453074433655,0,1,0,0,0,0,0,0,0,0
0,0.8461538461538461,0.75,0.37216828478964403,1,0,0,0,0,0,0,0,0,0
0,0.6923076923076923,1.0,0.45307443365695793,1,0,0,0,0,0,0,0,0,0
0,0.6923076923076923,1.0,0.32362459546925565,0,1,0,0,0,0,0,0,0,0
1,0.7692307692307693,1.0,0.0,0,1,0,1,0,0,1,0,0,0
1,0.8461538461538461,1.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0.8461538461538461,1.0,0.2783171521035599,1,0,0,0,1,0,0,0,0,0
0,0.9230769230769231,0.75,0.284789644012945,0,0,0,0,0,0,0,1,0,0
0,0.8461538461538461,0.75,0.47249190938511326,1,1,0,0,0,0,0,0,0,0
1,0.8461538461538461,0.75,0.0,0,1,0,1,0,0,1,0,0,0
0,0.7692307692307693,0.75,0.4563106796116505,0,1,0,0,0,0,0,0,0,0
0,0.8461538461538461,0.75,0.39158576051779936,0,1,1,0,0,0,0,1,0,0
0,0.7692307692307693,0.5,0.27184466019417475,0,0,0,0,0,0,0,0,0,0
0,0.7692307692307693,0.75,0.34627831715210355,1,1,0,0,0,0,0,1,0,0
0,0.7692307692307693,0.75,0.4045307443365696,1,1,0,0,0,1,0,0,0,0
0,0.7692307692307693,0.75,0.36893203883495146,1,1,0,0,0,0,0,0,0,0
0,0.7692307692307693,0.75,0.313915857605178,1,1,0,0,0,0,0,0,0,0
1,0.9230769230769231,0.75,0.06666666666666667,0,0,0,1,0,0,0,0,0,0
0,0.6153846153846154,0.5,0.2621359223300971,0,0,0,0,1,0,0,0,0,0
1,0.9230769230769231,1.0,0.0,0,0,0,0,0,0,0,0,0,0
0,0.9230769230769231,1.0,0.3106796116504854,1,0,0,0,0,0,0,0,0,0
0,0.9230769230769231,0.75,0.2977346278317152,1,0,0,0,1,0,0,0,0,0
1,0.9230769230769231,1.0,0.0,0,0,1,0,0,0,0,0,0,0
0,0.9230769230769231,0.75,0.2815533980582524,1,0,0,0,1,0,0,0,0,0
0,0.9230769230769231,0.0,0.32038834951456313,1,1,0,0,0,0,0,0,0,1
0,0.9230769230769231,0.0,0.3268608414239482,1,1,0,0,0,0,0,0,0,1
0,0.6923076923076923,0.75,0.3106796116504854,0,0,1,0,0,0,0,0,0,0
0,0.8461538461538461,0.75,0.3300970873786408,0,0,1,0,0,0,0,0,0,1
0,0.6153846153846154,0.5,0.1715210355987055,0,0,0,0,1,0,0,0,0,0
0,0.8461538461538461,1.0,0.3948220064724919,1,1,1,0,0,0,0,0,0,0
0,0.8461538461538461,1.0,0.37540453074433655,1,1,1,0,0,0,0,0,0,0
1,0.8461538461538461,0.75,0.0,0,0,1,1,0,0,0,0,0,0
0,0.8461538461538461,1.0,0.2524271844660194,1,0,1,0,0,0,0,0,0,0
0,0.6923076923076923,0.75,0.3042071197411003,1,0,1,0,0,0,0,0,0,0
0,0.7692307692307693,1.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0
0,0.6923076923076923,1.0,0.3106796116504854,1,0,1,0,0,0,0,0,0,0
0,0.9230769230769231,1.0,0.3365695792880259,1,1,0,0,0,0,0,0,0,0
0,0.7692307692307693,0.5,0.2912621359223301,0,0,0,0,0,1,0,0,0,0
1,0.6923076923076923,1.0,0.0,0,1,0,1,0,0,1,0,0,0
0,0.6923076923076923,0.5,0.2783171521035599,0,1,0,0,0,0,0,0,0,1
0,0.6923076923076923,0.75,0.3300970873786408,0,1,0,0,0,0,0,0,0,1
0,0.8461538461538461,0.75,0.27184466019417475,1,0,1,0,0,0,0,0,0,1
0,0.6923076923076923,0.75,0.3042071197411003,1,1,1,0,0,0,0,0,0,0
0,0.8461538461538461,0.5,0.343042071197411,0,0,0,0,0,1,0,0,0,0
1,0.9230769230769231,0.75,0.0,0,1,0,1,0,0,1,0,0,0
0,0.7692307692307693,1.0,0.2912621359223301,1,0,0,0,1,0,0,0,0,0
1,0.9230769230769231,0.75,0.0,0,0,0,0,0,0,0,0,0,0
0,0.6923076923076923,1.0,0.343042071197411,1,1,0,0,0,0,0,0,0,0
0,0.8461538461538461,0.0,0.13268608414239483,0,0,0,0,0,0,0,0,0,0
0,0.7692307692307693,0.75,0.23300970873786409,0,0,0,0,1,0,0,0,0,0
0,1.0,0.75,0.31715210355987056,1,1,0,0,0,0,0,0,0,0
1,0.8461538461538461,0.75,0.0,0,0,0,1,0,0,0,0,0,0
0,0.6153846153846154,0.75,0.2783171521035599,1,1,0,0,0,0,0,0,0,0
0,0.8461538461538461,1.0,0.2815533980582524,0,1,0,0,0,0,0,1,0,0
1,0.6923076923076923,0.75,0.0,0,0,0,1,0,0,0,0,0,0
0,0.6153846153846154,0.5,0.2815533980582524,0,0,0,0,0,0,0,1,0,0
1,0.9230769230769231,1.0,0.2,0,1,0,0,0,0,1,0,0,0
1,0.8461538461538461,1.0,0.13333333333333333,0,0,0,0,0,0,0,0,0,0
0,0.8461538461538461,0.75,0.2912621359223301,0,0,0,0,0,0,0,0,0,0
0,0.6153846153846154,1.0,0.31715210355987056,0,0,0,0,1,0,0,0,0,0
0,0.6923076923076923,0.5,0.11003236245954692,0,0,0,0,0,0,0,0,0,0
0,0.8461538461538461,0.75,0.3559870550161812,1,0,0,0,0,1,0,0,0,0
0,0.7692307692307693,1.0,0.2783171521035599,0,0,0,0,0,0,0,0,0,0
0,0.8461538461538461,1.0,0.2621359223300971,0,0,0,0,1,0,0,0,0,0
0,0.8461538461538461,0.5,0.32038834951456313,0,0,0,0,0,1,0,0,0,0
0,1.0,0.5,0.32038834951456313,0,0,1,0,0,0,0,0,0,0
0,0.9230769230769231,1.0,0.3592233009708738,1,1,0,0,0,0,0,1,0,0
